Category,Author,Title,Source Type,Language,Publication Information,Year
History,Suetonius,"C. Suetonii Tranquilli Opera Omnia Quae Extant",Primary Source,Latin,"Londini: E typographaeo Mariae Matthews",1718
History,Tacitus, Cornelius,"C. Cornelii Taciti Opera, Quae Exstant",Primary Source,Latin,"Amstelodami: Apud Danielem Elsevirium",1672-1673
Language & Rhetoric,Cicero, Marcus Tullius,"M.T. Ciceronis Orationes Quaedam Selectae",Primary Source,Latin,"Editio quarta. Londini: Typis Gulielmi Sayes...",1722
Language & Rhetoric,Demetrius,"Demetriou Phalēreōs Peri Hermēneias = Demetrii Phalerei De Elocutione",Primary Source,Greek+Latin,"Glasguae : ex officina Roberti Foulis",1743
Language & Rhetoric,Demosthenes,"Demosthenis et Æschinis Principum Graeciae Oratorum Opera",Primary Source,Greek+Latin,"Francofurti: Apud Claudium Marnium, & haeredes Iohannis Aubrii",1604
Language & Rhetoric,Demosthenes,"Dēmosthenous Logoi Eklektoi = Demosthenis Selectæ Orationes",Primary Source,Greek+Latin,"Etonæ: apud Joseph. & Thomam Pote",1755
Language & Rhetoric,Demosthenes,"Œuvres Complettes de Démosthene et d'Eschine",Primary Source,Translation into French,"Paris: Lacombe",1777
Language & Rhetoric,Dionysius, of Halicarnassus,"Dionysiou Halikarnasseōs Peri Syntheseōs Onomatōn = Dionysii Halicarnassei De Structura Orationis Liber",Primary Source,Greek+Latin,"Londini: Impensis R. Knaplock",1728
Language & Rhetoric,Isocrates,"Isocratis Opera Omnia Graecè et Latinè",Primary Source,Greek+Latin,"Parisiis: F.A. Didot",1782
Language & Rhetoric,Isocrates,"Œuvres complettes d'Isocrate",Primary Source,Translation into French,"Paris: chez De Bure, fils aîné",1781
Language & Rhetoric,Lucian, of Samosata,"Loukianou Samosateōs Hapanta = Luciani Samosatensis Opera",Primary Source,Greek+Latin,"Amstelodami: Sumptibus J. Wetstenii",1743
Language & Rhetoric,Lucian of Samosata,"Excerpta Quædam ex Luciani Samosatensis Operibus",Primary Source,Greek+Latin,"Precise edition unknown",
Language & Rhetoric,Lysias,"Opera Omnia, Graece et Latine",Primary Source,Greek+Latin,"Paris: Franc. Ambr. Didot L'ainé",1783
Language & Rhetoric,Pliny, the Younger,"C. Plinii Cæcilii Secvndi Epistolæ et Panegyricus",Primary Source,Latin,"Lvgd. Batav.: Apud Joan. & Danielem Elsevier",1653
Language & Rhetoric,Quintilian,"M. Fabii Quinctiliani de Institutione Oratoria Libri Duodecim",Primary Source,Latin,"Londini: Excudebat E.P. ; Impensis J. Nicholson",1714
Language & Rhetoric,Various,"Discours de Lycurgue, d'Andocide, d'Isée, de Dinarque",Primary Source,Translation into French,"A Paris: Chez De Bure, fils aîné ...",1783
Law,Justinian I,"Codex Justinianus ad Vetustorum Exemplarium Fidem Diligẽtissime Recognitus",Primary Source,Latin,"Parisijs in via ad duum Jacobum",1532
Law,Justinian I,"Corpus Juris Civilis",Primary Source,Greek+Latin,"Amstelodami: apud Joannem Blaeu, Ludovicum, & Danielem Elzevirios",1663
Law,Justinian I,"D. Justiniani Institutionum Libri Quator, The Four Books of Justinian's Institutions",Primary Source,Latin+English,"2nd ed. London: Printed by J. Purser for M. Withers",1761
Law,Theophilus Antecessor,"Theophilou Antikēnsōros ta Heuriskomena: Theophili Antecessoris Paraphrasis Graeca Institutionum Caesarearum",Primary Source,Greek+Latin,"Hagae Comitis: apud fratres Ottonem et Petrum Thollios",1751
Law,Vinnius, Arnoldus,"In Quatuor Libros Institutionum Imperialium Commentarius: Academicus & Forensis",Secondary Source,Latin,"Lugduni Batavorum: Apud Joannem van der Linden, Juniorem",1726
Literature,Aeschylus,"Hai tou Aischylou Trageodiai Seozomenai Hepta = Aeschyli Tragoediae quae Extant septem",Primary Source,Greek+Latin,"Glasguæ: In aedibus academicis excudebat R. Foulis",1746
Literature,Anacreon,"Anacreontis Odaria ad Textus Barnesiani Fidem Emendata",Primary Source,Greek+Latin,"Londini: Sumptibus editoris excudebant Gul. Bulmer et Soc.",1802
Literature,Anacreon,"Odes of Anacreon",Primary Source,Translation into English,"Philadelphia: Printed and published by Hugh Maxwell",1804
Literature,"Anacreon, Sappho, and Alcaeus","Hai tou Anakreontos ōdai kai ta tēs Sapphous kai ta tou Alkaiou Leipsana = Anacreontis Carmina",Primary Source,Greek+Latin,"Glasguae: In aedibus academicis excudebat Robertus et Andreas Foulis",1757
Literature,Antoninus Liberalis,"Antōninou Liberalis Metamorphōseōn Synagōgē = Antonini Liberalis Transformationum Congeries",Primary Source,Greek+Latin,"Amstelodami: Apud Janssonio-Waesbergios",1676
Literature,Aristophanes,"Aristophanis Comoediae",Primary Source,Greek+Latin,"Lipsiensis",1710
Literature,Aristophanes,"Aristophanis Comoediae",Primary Source,Greek+Latin,"Argentorati: Sumtibus J. G. Treuttel",1783
Literature,Bion of Smyrna & Moschus,"Biōnos tou Smyrnaiou... = Bionis Smyrnæl... quæ Supersunt",Primary Source,Greek+Latin,"Oxonii: e Typographeo Clarendoniano",1748
Literature,Callimachus,"Hoi tou Kallimachou Kyrenaiou Hymnoi te Kai Epigrammata",Primary Source,Greek,"Glasguae: Excudebant Robertus et Andreas Foulis",1755
Literature,Cato, Varro, et al.,"Rei Rusticae Auctores Latini Veteres",Primary Source,Latin,"Heidelberg, Germany: Ex Hier. Commelini typographio",1595
Literature,Colluthus of Lycopolis,"Kolouthou Arpagē Helenēo = Coluthi Raptus Helenae",Primary Source,Greek+Latin,"Leovardiae, ex officina Gulielmi Coulon",1747
Literature,Euripides,"Euripidis Tragœdiæ Medea et Phœnissæ: Græco-Latinæ",Primary Source,Greek+Latin,"Cantabrigiæ : Typis academicis",1703
Literature,Euripides,"The Tragedies of Euripides",Primary Source,Translation into English,"London: Printed for J. Dodsley, Pall-Mall",1781-1783
Literature,Homer,"Homeri Ilias, Graece et Latine",Primary Source,Greek+Latin,"Editio tertia. Londini: Impensis Johannis & Pauli Knapton",1740
Literature,Homer,"Homērou Ilias kai Odysseia... = Homeri Ilias & Odyssea...",Primary Source,Greek+Latin,"Cantabrigiae: C. Crownfield",1711
Literature,Homer,"Tēs tou Homērou Iliados",Primary Source,Greek,"Glasguae: In aedibus Academicis, Excudebant R. et A. Foulis",1756
Literature,Homer,"Homērou Odysseia",Primary Source,Greek,"Oxford: Ek Theatrou en Oxonia",1750
Literature,Homer,"Tēs tou Homērou Odysseias",Primary Source,Greek,"Glasguae: In aedibus Academicis, Excudebant R. et A. Foulis",1758
Literature,Homer,"The Iliad of Homer",Primary Source,Translation into English,"London: Printed for Henry Lintot",1750
Literature,Homer,"Ilias kai eis Auten Scholia ton Palaion = Homeri Ilias et Veterum in eam Scholia",Primary Source,Greek+Latin,"Precise edition unknown",
Literature,Homer,"The Odyssey of Homer",Primary Source,Translation into English,"London: Printed for Henry Lintot",1752
Literature,Horace,"Oeuvres d'Horace en Latin et en Francois",Primary Source,Latin+French,"Precise edition unknown",
Literature,Horace,"A Poetical Translation of the Works of Horace: with the Original Text, and Notes",Primary Source,Latin+English,"2nd ed. London : Printed for A. Millar",1747
Literature,Horace,"Q. Horatii Flacci Epistolae ad Pisones, et Augustum with an English Commentary and Notes",Secondary Source,Latin+English,"Dublin: Printed by Sarah Stringer",1768
Literature,Horace,"Q. Horatii Flacci Opera",Primary Source,Latin,"Editio quinta. Londini: Impensis Gulielmi Innys",1711
Literature,Horace,"Quintus Horatius Flaccus",Primary Source,Latin,"Glasguae: In aedibus academicis, excudebat Robert Foulis ...",1744
Literature,Jodrell, Richard P.,"Illustrations of Euripides, on the Ion and the Bacchae",Secondary Source,English,"London: Printed by J. Nichols",1781
Literature,Juvenal and Persius,"D. Junii Juvenalis et A. Persii Flacci Satyrae",Primary Source,Latin,"Londini: impensis Tho. Dring",1691
Literature,Lucretius Carus, Titus,"De Rerum Natura Libri Sex",Primary Source,Latin,"Londini: Sumptibus & typis Jacobi Tonson",1712
Literature,Lucretius Carus, Titus,"Titi Lucretii Cari. De Rerum Natura Libri Sex",Primary Source,Latin,"Cantabrigiæ: Ex officina Joann. Hayes, Impensis W. Morden",1675 or 1686
Literature,Lucretius Carus, Titus,"Titi Lucretii Cari De Rerum Natura Libri Sex: ex Editione Thomae Creech, Explain'd and Illustrated with Notes",Secondary Source,Latin+English,"Glasguae: In Aedibus Academicis",1759
Literature,Lucretius Carus, Titus,"T. Lucretius Carus, Of the Nature of Things, in Six Books",Primary Source,Translation into English,"London: Printed by J. Matthews for G. Sawbridge",1714
Literature,Ovid,"De Arte Amandi",Primary Source,Latin,"Precise edition unknown",
Literature,Ovid,"Publii Ovidii Nasonis Metamorphoseon Libri XV",Primary Source,Latin,"Londini: Impensis S. Ballard, J. & P. Knapton...",1751
Literature,Petronius Arbiter,"Titi Petronii Arbitri Equitis Romani Satyricon",Primary Source,Latin,"Amstelodami: Typis Ioannis Blaev",1669
Literature,Phaedrus,"Phædri Aug. Liberti Fabularum Æsopiarum Libri Quinque",Primary Source,Latin,"Londini: Ex officinâ Jacobi Tonson, & Johannis Watts.",1713
Literature,Pindar,"Ta tou Pindarou Sesosmena: Olympia, Pythia, Nemia, Isthmia",Primary Source,Greek,"Glasguae : Excudebat R. & A. Foulis",1754-1758
Literature,Plautus, Titus Maccius,"M. Acci Plauti Comoediae",Primary Source,Latin,"Lugd. Batav., Roterod.: Ex Officina Hackiana",1669
Literature,Sophocles,"The Tragedies of Sophocles",Primary Source,Translation into English,"London: Printed for R. Francklin",1758-1759
Literature,Statius, P. Papinius,"Publii Papinii Statii Sylvarum lib. V. ; Thebaidos lib. XII. ; Achilleidos lib. II.",Primary Source,Latin,"Lugd. Batav.: Ex officina Hackiana",1671
Literature,Terence,"Publii Terentii Afri Comoediae Sex",Primary Source,Latin,"Glasguae: Cura & impensis Roberti Foulis",1742
Literature,Theocritus,"The Idylliums of Theocritus",Primary Source,Translation into English,"London: Printed for the author by D. Leach",1767
Literature,Theocritus,"Ta tou Theokritou Sesomena = Theocriti Quae Extant",Primary Source,Greek+Latin,"Glasguae: In aedibus academicis excudebant Robertus et Andreas Foulis",1746
Literature,Tibullus and Propertius,"Tibulli Et Propertii Opera",Primary Source,Latin,"Glasguae: Excudebant Robertus & Andreas Foulis",1753
Literature,Unknown,"Incerti Scriptoris Graeci Fabulae Aliquot Homericae de Ulixis Erroribus",Primary Source,Greek+Latin,"Lugduni Batavorum: Apud P. Bonk",1745
Literature,Various,"Historiarum Mirabilium Auctores Graeci",Primary Source,Greek+Latin,"Lugduni Batavorum: Apud Abraham Elzevirium",1622
Literature,Various,"Musæ Anglicanæ sive Poemata Quædam Melioris Notæ",Secondary Source,Latin,"Precise edition unknown",
Literature,Various,"Poetae Latini Minores: ex Editione Petri Burmanni Fideliter Expressi",Primary Source,Latin,"Glasguae: In aedibus Academicis",1752
Literature,Virgil,"P. Virgilii Maronis Bucolica, Georgica, et Aeneis",Primary Source,Latin,"Edinburgi: Apud G. Hamilton & J. Balfour",1743
Literature,Virgil,"P. Virgilii Maronis Opera",Primary Source,Latin,"Londini: Impensis W. Innys",1746
Literature,Virgil,"Publii Virgilii Maronis Bucolica, Georgica, et Aeneis",Primary Source,Latin,"Glasguae: In Aedibus Academicis, excudebat Andreas Foulis",1784
Literature,Virgil,"P. Virgilii Maronis Bucolica P. Rami... Praelectionibus Exposita",Secondary Source,Latin,"Precise edition unknown",
Literature,Virgil,"The Works of Virgil, Containing His Pastorals, Georgics and Æneis",Primary Source,Translation into English,"7th ed. London: Printed for J. and R. Tonson and S. Draper",1748
Mathematics & Science,Archimedes,"Archimedous tou Syrakousiou Psammites... = Archimedis Syracusani Arenarius...",Primary Source,Greek+Latin,"Oxonii: e Theatro Sheldoniano",1676
Mathematics & Science,Euclid,"The Elements of Euclid: viz. the First Six Books, Together with the Eleventh and Twelfth",Primary Source,Translation into English,"Glasgow : Printed by Robert and Andrew Foulis",1756
Mathematics & Science,Euclid,"The Elements of Euclid",Primary Source,Unknown,"Precise edition unknown",
Mathematics & Science,Euclid,"Euclidis Elementorum Libri Priores Sex...",Primary Source,Latin,"Glasguae: in Aedibus Academicis, Excudebant R. et A. Foulis",1756
Mathematics & Science,Hippocrates,"Hippokratous Aphorismoi = Hippocratis Aphorismi",Primary Source,Greek+Latin,"Parisiis: Apud Theophilium Barrois Juniorem",1784
Mathematics & Science,Pliny, the Elder,"C. Plinii Secundi Naturalis Historiæ",Primary Source,Latin,"Lugd. Batav. & Roterodami: Apud Hackios",1669
Mathematics & Science,Pliny, the Elder,"C. Plinii Secundi Naturalis Historiæ",Primary Source,Latin,"Precise edition unknown",
Philosophy,Aristotle,"A Treatise on Government",Primary Source,Translation into English,"London: T. Payne",1778
Philosophy,Boethius,"Anicii Manlii Severini Boetii Consolationis Philosophiae Libri Quinque",Primary Source,Latin,"Glasguae: In Aedibus Academicis excudebant Robertus et Andreas Foulis",1751
Philosophy,Cicero, Marcus Tullius,"M. Tullii Ciceronis Opera cum Delectu Commentariorum",Primary Source,Latin,"Parisiis: Apud J. B. Coignard",1740-1742
Philosophy,Cicero, Marcus Tullius,"M. Tullii Ciceronis Opera quae Supersunt Omnia",Primary Source,Latin,"Glasguae: In Aedibus Academicis, Excudebant Rob. et And. Foulis",1748-49
Philosophy,Epictetus,"Epicteti Manuale et Sententiae",Primary Source,Greek+Latin,"Trajecti Batavorum: Ex officina Guilielmi Broedelet",1711
Philosophy,Epictetus,"Epiktētou Encheiridion...",Primary Source,Greek,"Glasguae: in Aedibus Academicis Excudebat Robertus Foulis",
Philosophy,Erasmus, Desiderius,"Adagiorum D. Erasmi Roterodami Epitome",Secondary Source,Latin,"Amstelodami: Ex officina Elzeviriana",1663
Philosophy,Gellius, Aulus,"Auli Gellii Noctes Atticae",Primary Source,Latin,"Amstelodami: Apud Ludovicum Elzevirium",1651
Philosophy,Longinus,"Dionysiou Longinou Peri Hupsous... = Dionysii Longini de Sublimitate Commentarius...",Primary Source,Greek+Latin,"Trajecto ad Rhenum: Ex Officinâ Francisci Halma ...",1694
Philosophy,Plato,"Platonis Philosophi Quae Extant Graece... cum Marsilii Ficini Interpretatione",Primary Source,Greek+Latin,"Biponti: ex typographia Societatis",1781-87
Philosophy,Plato,"Platonos Hapanta ta Sozomena = Platonis Opera Quae Extant Omnia",Primary Source,Greek+Latin,"Precise edition unknown",
Philosophy,Plutarch,"Plutarch's Morals",Primary Source,Translation into English,"3rd ed. London: Printed by Tho. Braddyll",1694
Philosophy,Theophrastus,"Theophrastou Charaktēres Εthikoi = Theophrasti Characteres Ethici",Primary Source,Greek+Latin,"Glasguae: Excudebant Robertus et Andreas Foulis",1758
Philosophy,Xenophon,"Xenophontos Hierōn... = Xenophontis Hiero sive De Regno",Primary Source,Greek+Latin,"Glasguæ: in Aedibus Academicis Excudebat R. Foulis",1745
Reference,Arrowsmith, Aaron,"A New and Elegant General Atlas",Reference Work,English,"Philadelphia: John Conrad & Co.",1804
Reference,Encyclopaedia,"Encyclopaedia, or, A Dictionary of Arts, Sciences, and Miscellaneous Literature",Reference Work,English,"1st American ed. Philadelphia: Printed by Thomas Dobson",1798
Religion,Bible. New Testament,"Tes Kaines Diathekes Apanta = Novum Testamentum",Primary Source,Greek+Latin,"Londini: Impensis R. Knaplock, J. Tonson, & J. Watts",1728
Religion,Bible. New Testament,"Tēs Kainēs Diathēkēs Hapanta = Novum Testamentum",Primary Source,Greek+Latin,"Londini: Ex officinâ Jacobi Tonson & Johannis Watts",1730
Religion,Bible. New Testament,"Hē Kainē Diathēkē. Novum Testamentum",Primary Source,Greek+Latin,"Londini: Excudebat G. Bowyer",1743
Religion,Bible. Old Testament,"Hē Palaia Diatheke Kata tous Hebdomenkonta = Vetus Testamentum Græcum",Primary Source,Greek+Latin,"Cantabrigiæ: Excusum per Joannem Field",1665
Religion,Bible. Psalms,"Psaltērion Psalterium: Juxta Exemplar Alexandrinum",Primary Source,Greek+Latin,"Oxoniæ: E. Theatro Sheldoniano",1678
Religion,Blackwall, Anthony,"The Sacred Classics Defended and Illustrated",Secondary Source,English,"London: Printed for C. Rivington ...",1737
Religion,Bryant, Jacob,"A New System, or, an Analysis of Ancient Mythology",Secondary Source,English,"2nd ed. London: Printed for T. Payne...",1775-1776
Religion,Buchanan, George,"Psalmorum Sacrorum Davidis Libri Quinque Duplici Poetica Metaphrasi",Secondary Source,Latin,"Precise edition unknown",
Religion,Church of England,"Biblos tēs Dēmosias Euchēs... (Book of Common Prayer in Greek)",Secondary Source,Greek,"En tē Kantabrigia: Exetypōthē par' Iōannou Phieldou ...",1665
Religion,Church of England,"Liturgia: Seu Liber Precum Communium... (Book of Common Prayer in Latin)",Secondary Source,Latin,"Londini: Typis G. Bowyer",1744
Religion,Clement of Alexandria,"Klēmentos Alexandreōs ta Euriskomena = Clementis Alexandrini Opera Graece et Latine Quae Extant",Primary Source,Greek+Latin,"Lutetiae Parisiorum: Apud Matthaeum Guillemot",1641
Religion,Grotius, Hugo,"De Veritate Religionis Christianae",Secondary Source,Latin,"Amstelaedami: Apud Henricum Wetstenium",1696
Religion,Lowth, Robert,"De Sacra Poesi Hebræorum",Secondary Source,Latin,"Ed. altera. Oxonii: e typographeo Clarendoniano",1763
Religion,Minucius Felix, Marcus,"Marci Minucii Felicis Octavius",Primary Source,Latin,"Glasguae: In aedibus academicis excudebant Robertus et Andreas Foulis ...",1750
Religion,More, Henry,"Henrici Mori Cantabrigiensis Opera Omnia tum Quae Latine, tum Quae Anglice Scripta",Secondary Source,Latin+English,"Londini : Typis J. Macock",1679
